Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Jitka Brandejska,a month ago,5,"I visited this establishment to experience a ""full English breakfast"", I got a plate full of tasty food for an incredible friendly price. The unlimited coffee was good. The next day I got eggs Benedict. I liked it a lot. The staff was very friendly.",8,2,False,2,"https://lh5.googleusercontent.com/p/AF1QipNgBSVEZ23crLd7z2FHGzqulI2eAMdmtXdNkPey=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOM7k0wyi00HMs9vvRcb4OLS4uzaO-xPm8OAg2l=w450-h675-p-k-no",£1–10,5,5,4,"Eggs Benedict, Traditional Breakfast"
Josh Baltazar,5 months ago,4,"Came here before one of the Manchester United games, this place was packed with fans.  Love the selection of beers supplied at Wetherspoons, quite traditional as well. I chose one of the Red Ale's to drink, I believe I ended up getting a Lancaster Red.  I only got a beer but the food looked great as well, saw a lot of Fish and Chips, definitely want to try the food here one day.",523,2340,True,2,"https://lh5.googleusercontent.com/p/AF1QipPhq1VgNFQrR_wJWrsaFBnJn_26Ev3kYLcHaX8A=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOgFcZ4ri1KTiIvxPJPpo1AVISi6DgYZZpTtDR6=w450-h675-p-k-no",£1–10,Not rated,Not rated,Not rated,Not found
alan hypno,a month ago,5,Top beers low prices decent food the place was packed but service was fast,248,113,True,4,"https://lh5.googleusercontent.com/p/AF1QipPjjr6l5mgLOoojkswyHso_-h8ve7AvzpsXjOhI=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO53-XQvozEuF6-mQlXRKvu7pbTMd3gI7PFZwXe=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNUqRjKc8J-TKkccVmsmWySCKTs6Zm7i_7PFTnO=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPPTcbS5tb8lrEkUln-6FoWHh0T_0m174y5yFIi=w450-h338-p-k-no",£10–20,5,5,5,English Breakfast Small
LTT_OFFICIAL,6 months ago,4,"Nice chicken wings.
Nice dip.
Nice pizza.
The staff is quite good.
The place is really overcrowded in the weekend evening.
The high chair is not quite comfortable.",227,830,True,3,"https://lh5.googleusercontent.com/p/AF1QipOtJx82s7vPBnTll7mbrxpR-RGLIN-HgpJdGmH4=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMHaGRYbBUIBsYX2dC4ZzHB0nq8nWGPTKTxtC0r=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNnwKOiSWj1thG-R1DU6bH1UJJO7HxEfvvjIrWL=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Misaki,7 months ago,4,"A wide spaced pub where you can eat and drink cheap, specially during the afternoon time (I've got a big plate of fish & chips and a pint under 10£). You have to order and pay for it through a QR code on the menu, so the waiters aren't interactive to you at all, bus I guess that's how this pub works. Overall it's a nice budget place to dine.",111,228,True,2,"https://lh5.googleusercontent.com/p/AF1QipNSon-vGkPw7gtVDlgZzaEuyP_fGqIQuMHN7A57=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipM4hFbw9_1WFBJXgJIx9U65dy4qAXX3zdGquzZ6=w450-h675-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Jason Phillip Shaw,3 months ago,4,Just had chicken strips and 5 wings. Two beers. Less than £20 so taken edge off appetite. Tad busy at 17:00 Saturday as people drinking before heading home. Good value. Better nibbles than expected.,5,No photos count,False,0,,£10–20,5,4,4,Wings
F. Antonio Campos Cardellat,3 months ago,1,"I ordered a Double American Cheese Burger with a extra 6 onion rings.
I got only 4 onion rings, the Burger was not warm enough, ridiculously small even smaller than normal burger and the bread was dry .... Fantastic experience.... Definitely won't come back here  ... Even McDonald's do better burgers ... So imagine the quality of this burger 🤮.",43,12,True,0,,£10–20,1,1,1,Not found
M R,4 days ago,2,"The only redeeming features are that it's centrally located and drink prices are cheap. Otherwise, it's a vast nondescript drinking lounge with a long bar counter and unenthusiastic inattentive service. There's an extensive menu for all tastes and cuisines. It's cheaper than Yates.",143,2095,True,0,,Not found,Not rated,2,2,Not found
Miriana Cecchi,10 months ago,5,"By suggestion of a friend who lives there, I've been here every morning to have breakfast during the days I spent in Manchester. Excellent quality at a very affordable price.
Traditional breakfast is so good and if you take a cappuccino (or a hot beverage) you can refill it how many times you prefer.
Thank you, Wetherspoons",2,13,False,3,"https://lh5.googleusercontent.com/p/AF1QipNnkOj3y6_I43hThBOG3fUqn3JsCfw-VHpXpua-=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPggKVKOvT0P64vVbXH_OUBN_r3ePiOO1ZSEa_1=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO09tnooVBi1zcM6E8KOH-a_dnxQAZKNbDHFLRk=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Chris Shimwell,3 days ago,5,It's a busy place but all the staff I dealt with were pleasant and efficient. Not the place for a quiet drink...but then you are on the main street going to Manchesters shopping centre. Vegan chilli was really tasty,3,No photos count,False,0,,Not found,4,5,5,Not found
