Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Gaizka N,3 months ago,4,"This Wetherspoon pub is just like any other in the franchise, offering the same familiar experience. The main difference is that this location might be slightly smaller than usual. However, what sets this place apart is the fantastic prices. I was able to enjoy a full English breakfast for an incredible £2.99, and I doubt anyone can beat that value. If you're looking for a budget-friendly meal without compromising on taste, this Wetherspoon pub is a great choice. The wide selection of food and drinks at such affordable prices make it a go-to spot for a satisfying meal.",290,2363,True,4,"https://lh5.googleusercontent.com/p/AF1QipMWxtLn7JcUmSv_yZLVRyCLG0OI7x9s3uJXMes=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOl0jbupZj9eTHtf1bKlVZspWnJfD7LWm-4fVk=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOtU8nytzwUnWVwbOyOdxZqJNdFjHAhvYnCmJo=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOqvwDIOZS1mgauECAEL3D-DXgRSuguowEduMA=w450-h338-p-k-no",£1–10,3,5,4,Not found
Ray Hf,6 months ago,5,"Delightful place with a good atmosphere. The food was good and affordable. A lot of variety of it as well. Had a dinner of fish and chips, it was really good and tasty. Also a recommended place to hang out and have a meal together. Definitely will come back again.",138,665,True,1,https://lh5.googleusercontent.com/p/AF1QipMVLMXyH4V7r7M-T6VPtOBughyL3Kl6uZgFWg4D=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
Simon McCabe,a month ago,3,"Well. Where to start. So, the place looks nice inside. Dark, presumably so you can't see too closely.
The nuggets where surprisingly very tasty, the burger has tiny and dry. We shared the loaded fries, they could have been better, the cheese was barely melted and lacked flavour. The halloumi was a bit overdone but was also quite cold on arrival.
Staff seemed quite nice, although rushed.
The place was letdown by the stereotypical spoons crowd.
People pushing in, arguing with each other and a delightful couple who seemed close to good old fisticuffs. That might be your type of thing, but not mine.",196,835,True,0,,£10–20,3,4,2,"Beef Burger, Chips"
anne bibby,3 days ago,4,Always pleasant helpful staff. Clean tables. Great place for breakfast or dinner. You know what you are getting at a decent price,42,No photos count,False,0,,£10–20,4,4,4,Not found
Paul Graham,2 months ago,4,"Lovely place, was in yesterday and ordered an 8oz steak, with chips, onion rings, peas and a pepsi for just over £13.

The chips were the best I have ever had, very large and substantial.

Really enjoyed the steak and the waitress was lovely.

If I'm around that area again, I think I'll be going back for another steak.",22,No photos count,False,0,,Not found,4,5,4,"Chips, Steak with Peppercorn Sauce Bernaise"
Lord Neville JP Edwards Rennalls,2 years ago,5,"What an absolute delight it was to stop off here on the off chance to then be greeted by beautiful attentive staff, in a classically decorated modern bar. Drinks so reasonably priced but the melt in the mouth, medium rare steak with fluffy thick cut chips topped with a homemade pepper corn sauce. It's a basic meal made exceptionally by the way its prepared. I've eaten some expensive steaks but for somewhere you would think is run of the mill, taking the chance you won't be disappointed. After a morning of shear running around to be pleasantly satisfied with the simplicity of decent well cooked standard food has made my week. I would recommend this venue to anyone looking for no fuss but inviting environment with great staff and above standard food. Thank you guys an girls.",69,1247,True,4,"https://lh5.googleusercontent.com/p/AF1QipPmERaCQ_ADQhmSjwZc7s0erp8uvpuzejoZwsAP=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMSYHlWvqtfmawjapPFUI9gKOXmH_lnjerfySoy=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMMPel_on5ZNanZm7itRbamqpTpMTaHp3fKjG50=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOSUFjjKyvR5SeYQHFtyU5Ckd70K6p2n3rwwjj0=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Uday Gaitonde,a month ago,5,Had breakfast.  Value for money.  Excellent atmosphere.  Very good ambience.  I wonder how they manage to serve such excellent fare at such prices.  Their lemonade is recommended.,133,3321,True,0,,£1–10,5,5,4,Not found
A J,2 months ago,1,"Seriously. Why bother. Farce

Meant to be fish & chips incase you are wondering, the yellow thing twice the size of a pepper sachet was the fish",9,1,False,1,https://lh5.googleusercontent.com/p/AF1QipPruZAs5kpcYxWoX-8-ksUQuPwQruzKv_TrBcXT=w900-h675-p-k-no,Not found,1,3,2,Not found
Jiří Němec,7 months ago,4,"Nice restaurant. Many kinds od Beer. Meals were very good. If i will travel again to Manchester, will go there again.",123,No photos count,False,2,"https://lh5.googleusercontent.com/p/AF1QipPza4qLGJyIf4hr2QjVFYFkOkOzQAnoAOOjcam6=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNK624hHmhLQSwIZ8xBw4jUNOJ9CBWmk7wb057n=w450-h675-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Danish Zuhairi,5 months ago,5,"very good, love their large portion vegetarian full English breakfast and bottomless refillable hot drinks! all for just £4! (breakfast £3, bottomless refillable hot drink £1) such good value for money! should come and definitely recommended 👍🏼",166,3621,True,1,https://lh5.googleusercontent.com/p/AF1QipP4XlMabgjWrvAu6JZGwhm6YfWHCN_kxnfdkhH_=w900-h675-p-k-no,£1–10,5,5,5,American Breakfast
DLT,a week ago,5,This is my favourite Wetherspoons in Manchester. Got rowdy the last visit. But it wasn't annoying because the pub is quite spacious.,44,9,True,0,,£10–20,5,5,5,"Freshly Battered Fish and Chips, Beef Burger, Chocolate Brownie, Chips, Burger"
Lucy Lennon,3 months ago,5,Great selection of food and drinks. Hannah is an asset to the company - all of the food that she prepared was exquisite for the price. I will definitely be frequenting this pub.,1,No photos count,False,0,,£10–20,5,5,5,Not found
Bauyrzhan Zhumagazin,a month ago,5,"I really like this bar, especially the atmosphere and mostly beer",2,1,False,1,https://lh5.googleusercontent.com/p/AF1QipPqvVCH0Cha05nByoefTGzaiTtnUFjh9ZYu2X3c=w900-h675-p-k-no,Not found,5,5,5,Not found
