Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
GC,5 months ago,5,"Great food , friendly helpful staff and a clean environment. Popped in for breakfast and wasn’t disappointed at all",93,410,True,4,"https://lh5.googleusercontent.com/p/AF1QipNaQ5CZC0gnjKouTAFqOdOz-6ZU_PxiRbNAWJMc=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNtkAgj5OGJ4MQqUbEusWSwmqnlS1INkwugWldf=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO6ZPBOxLqVOm5jaB4SAkrQAGpp-Xjy2jZAawH1=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPvKCwS2_H_qrbBNQXPMG0rLu06mVL9Io-z6n_e=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Baz Smith,4 months ago,5,"Lovely curry and a pint of Stout for £9.50! Can't argue with that!
Good, friendly service topped it off nicely! Well done to all!
Reccomended!",272,1255,True,0,,£1–10,5,5,5,Not found
Liz Johnson,3 months ago,5,"We had an evening meal here with friends, the food was excellent, great portion, wide variety and delicious. Nice friendly relaxed pub. Well worth visiting.",5,No photos count,False,0,,Not found,5,5,5,Not found
Stephen,a month ago,5,"Called in for drinks nice young man behind the bar very friendly and helpful, nice atmosphere, all clean and tidy",244,No photos count,True,0,,£1–10,Not rated,5,5,Not found
Bev Davies,a month ago,5,"Very  friendly staff and customers,  nice surroundings,  busy pub. A short walk from the shops in Bury market .
Good prices for a selection of beers and food.",25,No photos count,False,0,,£20–30,5,5,5,Not found
Michael Wykes,3 months ago,5,Good deals on food and drinks. Trying to compete with wetherspoons a bit. Still prefer wetherspoons but give it a try. Tea coffee and chocolate £1.50 free refills,278,276,False,0,,Not found,5,5,5,Not found
Gail M,3 months ago,5,"Excellent value for money, great staff. Massive choice and great for kids, toilets spotless, good atmosphere 👏",35,2,True,0,,Not found,5,5,5,Not found
Tony Southern,5 days ago,5,"Fantastic pub,had a lovely Breakfast earlier..",88,288,True,0,,Not found,5,5,5,Not found
Karen Fleming,4 months ago,5,"Light and spacious , friendly staff clean.
Food lovely I had a panni,  hubby had pizza . Would recommend this witherspoon!!!",56,47,True,0,,£1–10,5,5,5,"Chicken Wings, Fish Chips and Peas, Pizza"
jean waldron,a week ago,5,Enjoyed jacket potato & salad - nice refuel between shopping!!,108,74,False,0,,£1–10,4,4,4,Not found
paul riches,3 weeks ago,5,"Great pizza, staff, and the prices are very reasonable.",1,No photos count,False,0,,£10–20,5,5,5,Pizza
Gary Cockcroft,2 months ago,5,Good selection of beers at competitive prices...standard pub fayre again priced Reasonable,133,141,False,0,,Not found,4,5,5,Not found
Kian Law,a month ago,5,"Amazing food, inexpensive and friendly staff!",26,131,True,0,,£30–40,5,5,3,Burgers
Jenny Chamberlain,6 months ago,5,"Took kids in had a lovely meal x had a nice chat with the manager x good atmos alltogether really x oh and i reckon it was cheaper thsn goin mcdonalds , and he didnt seem mind the kids acting like full on nutters",2,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Nick Whitley,7 months ago,5,We were so well looked after tonight by the lovely staff. The food was awesome and choice of beer as good as always. Spot on!,20,44,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Garry Hughes,3 months ago,5,Like wetherspoons but better. Nice friendly staff...service with a smile.,104,297,True,0,,£1–10,5,5,5,Not found
Paul Butcher-Fielding,6 months ago,5,"Much improved under the new ownership much cleaner, good staff attitude. and still sensibly priced. Well Done!!",112,6,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Vic Piner,10 months ago,5,"Popped in for a spot of breckie and a light ale. Food was served fairly quickly. I had been told there was no eggs and offered a choice of extras. I opted for extra sausage. There was 4 sausages, 4 crispy hash browns, beans, 2 lean bacon and mushrooms and two toast. It was good but my only slight complaint is the food wasn’t hot. By the time I was nearly finished the beans had gone cold. I did furnish it off though. The pub itself is a typical weatherspoons. Not a bad place.",137,76,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Andrew Miller,5 months ago,5,We’ve been going in the Robert peel for over 20 years. And approximately two weeks ago I was taken very ill there we’d just received our meal and the next thing I was on the floor? Well a young man helped my wife to get me up on the chair only to collapse again at this point my wife said the manager came and helped her and I carn’t thank him enough for all the help and support he gave my wife he got me an ambulance and stayed with me and my wife until it arrived.  Thank you so much. Our only upsetting thing was we didn’t eat the meal but again Thanks.,28,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Molly,5 months ago,5,"Staff always friendly and ready to help - Kayley, Thomas, Sarah and Lucas to name just a few.",10,3,True,0,,£10–20,Not rated,Not rated,Not rated,"Pizza, Burgers"
Jenny Urwin,7 months ago,5,It was awful...Hated every mouthful of my scampi and chips....😉 …,34,10,True,1,https://lh5.googleusercontent.com/p/AF1QipMUnG8mhrbFl4sZ8k0h13OR6m1KUpU1dtZoz0Lm=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
Barry Walsh,a month ago,5,Enjoy having a pint and breakfast or coffee latee,7,15,True,0,,£10–20,5,5,3,Not found
keith Marshall,4 months ago,5,"Good  beer,  good  food  and all at a good price 👌 …",326,59,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Linda Thompson,7 months ago,5,Very Good First Experience Good quality food hot and plenty of it will definitely call again and very nice staff,23,7,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Cliff Swallow,6 months ago,5,"Not much difference from past visits when was a spoons, same cheap beer and fairly good selection of real ale disappointed Abbort not included in meal deals but hayho meal as good as spoons",276,58,True,0,,Not found,Not rated,Not rated,Not rated,Not found
natalie waterman,a month ago,5,Great for a quick pint while shopping,22,6,True,0,,Not found,5,5,5,Not found
Yvonne Lewis,7 months ago,5,"Very good, pleasant atmosphere, staff friendly, food very good and not too expensive, would recommend.",44,1,False,0,,Not found,Not rated,Not rated,Not rated,Not found
james walker,a year ago,5,"Google maps need updated. Not a Wetherspoons anymore. Looks like one menu very similar. Prices slightly dearer but still an attractive venue. Worth a visit,although busy on market days. 👍🏴󠁧󠁢󠁳󠁣󠁴󠁿 …",58,514,True,0,,Not found,Not rated,Not rated,Not rated,Not found
