Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Camille D.,2 weeks ago,5,"Very nice place. We love going to Wetherspoon whenever we are in the UK as the food and drinks are cheap and the portions are great for the price.
We ate there several times including for breakfast. Love that they offer many vegan options and that they have oat milk available for your coffee / tea.
This Wetherspoon was quite crowded because of rugby games but overall was great.",123,143,True,0,,£10–20,Not rated,Not rated,Not rated,Not found
TIM SCHOFIELD,5 days ago,5,"Dropped in on Halloween evening and full of fancy dressed people, music playing which was unusual for a spoons, but added to the atmosphere which was lively not like your normal spoons. Only had a drink, but our group enjoyed it in there. Great value drinks as ever but a lively atmosphere.",540,2461,True,0,,£1–10,Not rated,5,5,Not found
Kevin Williams,3 months ago,3,"Manger said I can’t charge my Mobility Scooter whilst having a coffee and doing a bit of work, would have stayed for lunch only I will go somewhere that is more disabled friendly. Apart from this the staff are lovely and I do usually come a lot.",24,21,False,1,https://lh5.googleusercontent.com/p/AF1QipOMK5515LOn3t0-UIzznS70brzCVbhppKL4UDT-=w900-h675-p-k-no,Not found,4,3,4,Not found
Steve Craig,3 months ago,5,"Went in here after the Bastille concert.  What a great atmosphere, staff were brilliant.  Loved the KISS fans that came in after their concert.",111,421,True,1,https://lh5.googleusercontent.com/p/AF1QipOS5bYFAvZN7SX_djF6eUw8-bqbqsFqzEX4OtGl=w900-h675-p-k-no,£20–30,4,5,5,Not found
Nigel Griffiths,3 months ago,4,Decent spoons - Eggs benedict fail! Hard eggs...all 3 spoons we went to in Manchester could not do runny eggs!,812,7159,True,2,"https://lh5.googleusercontent.com/p/AF1QipPARsfmtZLG7BEPQp4buNcQZhsT3x1PNLvtEL6C=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMEmeA51e8wQHMHRNbQ9y2p13fsB2izRbns2vV1=w450-h675-p-k-no",£1–10,4,5,Not rated,Not found
Jack Whitehead,a month ago,1,Seven Stars couldn't get 0 stars. Bland food that makes a wet napkin have flavour. Staff that are rude and the side orders are managerial sass. Better atmosphere at a cemetery. A wet flannel has more personality than the manager,5,No photos count,False,0,,Not found,1,1,1,Not found
John Dixon,a month ago,1,"Had breakfast here several times and the quality of the food is very low. Over done toast, overcooked oily hash browns, under tomatoes and oily undercooked mushrooms and over cooked sausages. Also on last visit one of the two coffee machines needed a service was only dispensing coffee out of a single stream rather than two and the coffee was full of bubbles. Would not recommend breakfast here. Paramount cooks breakfast better.",17,No photos count,False,0,,Not found,1,1,2,Not found
The Green Dragon - Rồng Xanh,3 months ago,3,"Decent Wetherspoons in the City Centre although there are better. The venue is unique in how it's built but wasn't cleaned very well. Food was standard, service was good though. I might change my review if I visit again.",158,828,True,0,,£1–10,3,5,3,Not found
D M,11 months ago,5,"Nice vibe, DJ with a mini dance floor , enough to tables throughout the building and quick service for the size of venue , very happy with this spoons would recommend no doubt ! 5/5!",180,395,True,3,"https://lh5.googleusercontent.com/p/AF1QipMhFOWmZmYRe4P7n48NDrbXo2rYHhoOT9-CrJmz=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOkj2obTOvhkkNZTCkrl0CZOIzbQg3aczA4i6qZ=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOA78FZDxZFNMsuSf9XQ4r3EpWEUo8QgJddZLFQ=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Enya,a year ago,1,"We had 10 people on our table to come in. All of us ordered on the app individually. It was very quiet Sunday lunch, not many people around. The food was terrible. Most of the food had obviously been cooked and just kept hot for hours waiting for someone to order it. My ‘mash potato’ was harder than a rock, and when asked for another the second was only marginally better but the bottom was still rock hard. The chilli sauce on most of my friends dishes were far too spicy even for the ones that liked spice, and when told about this there was no offer of replacement given by the staff, even though the 4 out of 10 that got the sauce said it was different to other spoons and it was definitely more spicy. 1 of the staff was very nice, the rest looked like they hated being there. Not good.",16,5,True,2,"https://lh5.googleusercontent.com/p/AF1QipOZT-4a6W3kamPNsYIzB1lyuPFx60umHNygr6Ho=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipN9C7igZNS2sOjxKRyWWflpMZwCogAQmq4_90BE=w450-h675-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
