Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Marie Fox,3 days ago,5,"A great pub/establishment. It has a lovely cafe area and a great bar also. The cafe is relatively cheap and give a great offer on brews, with a cup of tea, coffee or hot chocolate for £1.50 with unlimited refill which is great if you have lots of work to catch up on and like a nice relaxed atmosphere to do it in. The nightlife is also great, since I've been a teenager this place has had a lovely crowd of people with great music and sports for the fanatics...",112,No photos count,True,0,,£1–10,5,5,5,"Veggie Breakfast, Fish and Chips, Noodles, Lamb Shank, Traditional Breakfast, Eggs Benedict, Lasagna, Pizza, Six Onion Rings, Toast, Caramel Cookie Dough, Empire Burger, 3 Small Plates, And Chips, Mushroom Benidict, Chicken Tikka Masala, Cauliflower Curry, Fish, Burger, Chicken Burger"
Benjamin Smyth,2 months ago,5,"When they say ""you get what you pay for"" it's not always a good thing - and in this case even so, as you get more than you would expect for your money. The drinks selection is vast & inexpensive, the food is decent and very good value for money, combine the two (if you can find your ideal meal that includes a drink) and you're talking incredible value - Steak dinner with a large premium IPA for a tenner? That'll do.

Bolton town centre's own Wetherspoons is nicely located, usually aptly staffed and the service is quick & pleasant. I can usually find a seat to dine peacefully uninterrupted on both weekend and weekday visits. The staff are attentive and considerate.

On the constructive side, the recently added outdoor area round the back is pretty pointless as it is far from a sun tap, and even as a non smoker I don't understand why it's there if you can't smoke there (yes I understand the legislation & definition of suitable smoking areas). Also the table arrangement of the main bar/drinking/dining area is a bit erratic, the tables seem cramped in places & randomly positioned.

Another thing for those looking to enhance their Wetherspoons experience; get the app. I know not all Wetherspoons have the fast service Bolton offers (Westhoughton was beyond painful) but it's easy to use, order, modify your preferences and is by far easier than trying to remember your family meal order at the bar.",79,56,True,1,https://lh5.googleusercontent.com/p/AF1QipMHJFj9HB4W4AS31G5YSlnryO6cMyaiY3dQzK8h=w900-h675-p-k-no,£10–20,4,4,3,"Fish and Chips, Traditional Breakfast, Pizza, Six Onion Rings"
Will Renshaw,3 weeks ago,5,Never had an issue with this Wetherspoons. Brilliant and delicious food and drinks. Plenty of seating. Lovely outdoor area with heaters and lights. Toilets are usually quite clean. Plenty of staff around and food and drink come very very quickly. Love it!,52,46,True,0,,£10–20,Not rated,Not rated,Not rated,"Fish and Chips, Traditional Breakfast, Pizza, Caramel Cookie Dough, 3 Small Plates, And Chips, Chicken Tikka Masala"
RevFrL B,6 months ago,5,Excellent real ale selection. When visited had at least three Peerless ales... they really were peerless! Bar staff very friendly and helpful.,205,140,False,2,"https://lh5.googleusercontent.com/p/AF1QipMUh2dsG9wCYLoUDUI7HzNJMb9CKHvRMVtQJ0MZ=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMocQI5hGgIoK5iDoR4DBnr83UrmWl9BiRsrRQk=w450-h675-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Alinor Gowans,3 months ago,5,We visited here for my neices graduation had a great time staff were very polite and cheerful will be calling again,33,18,False,3,"https://lh5.googleusercontent.com/p/AF1QipM1RhQuppWZIybRnfEiqN6sztfkgK2xxFcRMpSK=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPoSebDqhO6hnEi-Jj39s9nAKtlY_OoxJezGAbu=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOqRG96l00yUyV2I7Lik0H5RxMagi3aaFlzmhQy=w450-h338-p-k-no",£10–20,4,5,5,"Fish and Chips, Traditional Breakfast, Pizza, Six Onion Rings, And Chips"
MADDOGLEP,a year ago,5,First trip to Bolton in 47 years and thus first pint. A really lovely pint from Coach House Brewery. Coachman's Spring Ale. Really refreshing. Excellent choice of ales. Boss having their blueberry beer which is exceptional. Nice building and lovely staff. Only Spoons snobs would complain.,1195,4555,True,4,"https://lh5.googleusercontent.com/p/AF1QipOvrylCvKhOs7LFRxnsdvw0nOiisZrqKoaK5DxU=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNdjtu1bWqkv4bdwLyZGJKNEDJi7JFBzGJPNG0e=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipNUQKFPuXZhR3dxUjNdMWDv7bAV2GGvn8b2S6Y_=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO7MFWaqO_-OceVIuBzmnjwCTDKuzeDcAToRwYg=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Paul Rigby,6 months ago,5,"Having been in exile in Spain for over 12 months the main thing we missed was Weatherspoons, its nice to be back and food, drink and prices are very much the same as before we went to Spain. The Spinning Mule has recently been refurbished and is looking very good, thankfully they have got rid of those depressing black & white pictures which did nothing for the atmosphere.
Were do they get the staff, they are totally amazing, so polite and helpful, give the staff 5 stars.",222,258,True,4,"https://lh5.googleusercontent.com/p/AF1QipO2KOZeaatDblQdzuls39Nvl_PypfMIWnYCgbRt=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMsqUdc7P3MYsB6fBPxHVIpBeTZ2fRByZ5r9D8Z=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipO0CSI1x7MkLc4zUfRjNu0418OJIT-YBr1G7Lig=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMq5ttLAPZQu5gmODHNs7uwgNCTzw9EkySTZt1-=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Suzi Boardman,a month ago,5,"It's a 'Spoons - like pretty much every other 'Spoons. Acceptable, cheap food, quick service (quicker on the mobile app), a good selection of reasonable prices ales. Nothing overly special but can't conplain about cheap beer.",30,2,True,0,,Not found,3,4,4,Not found
Mark Allen,3 months ago,5,"What a birthday treat to be taken out by a superb friend for my birthday tea.

The food was fabulous and the surroundings were also and the atmosphere was also terrific also.

This was the best birthday I have had in my entire life of 50+ years",52,2,True,0,,Not found,5,5,5,Not found
JILL COLLARD,9 months ago,5,"Food is wonderful and very fast, and if you use the app, it's even faster. It's always a great night when we go in",30,57,True,2,"https://lh5.googleusercontent.com/p/AF1QipOehe9UITgCD0B0W4VOGKMQ0mxltlKguZRhl5yB=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPWxWa59V_ByAug8SULFPAMJKHLRMLLGQTgobre=w450-h675-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
