Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Karen Griffiths,2 months ago,5,popped in for evening meal as it was near my hotel. Quiet busy but managed to find a table. Food was served quiet quickly and was really tasty. Atmosphere seemed really friendly like everyone was enjoying themselves and relaxing not rowdy. pleasant experience.,181,1069,True,2,"https://lh5.googleusercontent.com/p/AF1QipM4EmqppKUWGXL8PS7nMLpUG-1esntjDB94aczr=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOZl7SdwEDkF4P_Up8e8cbNLSAC35YGbsUI0WIe=w450-h675-p-k-no",£10–20,5,5,5,Not found
LionessLocs,4 months ago,5,"You really can’t go wrong with a Wetherspoons! We popped in for further drinks after visiting another bar and easily found a table considering it was a busy Saturday. The building is much bigger than it looks from the outside and toilets are located up some vintage style stairs.

If your mobility impaired, I’d choose another Wetherspoons as there is no disabled access inside. I’d return again for cheap drinks and room to chatter!",178,859,True,3,"https://lh5.googleusercontent.com/p/AF1QipOXmEuEpTastKoxSDKUnkR9TiovSG8C3Eip7mMY=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPomv9x4DhEc9NSc0oky6XuS8SuIurNtmvm8iei=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPRqeSjXLP5FNH24-EueIRjssRKAGdYna-WtD-Z=w450-h338-p-k-no",£10–20,Not rated,Not rated,Not rated,Not found
Mariusz Szymczak,3 months ago,5,"The Lamb and Flag pub in Leeds, West Yorkshire, is a true gem among local establishments. From the moment you step through the doors, you are greeted with a warm and inviting atmosphere. The traditional yet charming interior creates a cozy ambiance, perfect for unwinding after a long day.

The pub's selection of ales and beers is impressive, catering to both connoisseurs and casual drinkers alike. Their staff is friendly and knowledgeable, always willing to recommend a new brew or discuss the latest offerings on tap.

When it comes to food, the Lamb and Flag certainly does not disappoint. Their menu boasts a delightful array of classic British dishes, prepared with care and attention to detail. Whether you're in the mood for hearty pub grub or a lighter option, their diverse menu ensures there's something for everyone.

Beyond the welcoming ambiance and fantastic fare, what truly sets the Lamb and Flag apart is its sense of community. Regular patrons and newcomers alike are embraced by a warm camaraderie, making it a perfect spot to socialize and meet new friends.

If you're in Leeds, don't miss the opportunity to visit the Lamb and Flag. It's a quintessential British pub experience that will leave you with a smile on your face and a desire to return.",53,338,True,0,,£20–30,4,4,5,Grilled Chicken
Kirk Taylor,6 months ago,4,"One of the more basic 'spoons : but usual low prices on drinks , toilets upstairs 😊, and plenty of tables in a Warren of a venue. A pint for under £2.50 in 2023 is excellent value! 👍 …",388,11976,True,4,"https://lh5.googleusercontent.com/p/AF1QipPubgIkJXR07T7O-fv_iqMQt5RBMOMcbGK206vv=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOprRAIx-eMVDd9ANajBRbZfOP8x7Gg8t-aik1C=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipP9wW_GDKljzTcBLDQJJyGXtUKYFEvThiKZNuc_=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPyXnT65DKLA0K-NfiyahMq9xUck-WqI6MdsKYH=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Michael Alex,2 months ago,5,"An interesting pub layout and an interesting Menu.
It's the first Spoons I've been to that served Ramen Bowls and it was lovely!",40,61,True,1,https://lh5.googleusercontent.com/p/AF1QipP7fuX6E3Vq24UvGA3Hm0H1tAMJvWZA3sUceHt7=w900-h675-p-k-no,£10–20,5,5,5,"Large Full English Breakfast, Fish and Chips with Curry Sauce, Teriyaki Noodles, Chicken Wings"
kiwiwikii,a month ago,1,"Pub manager clearly does not know what she’s doing. My burger came with onions, which I am allergic to, after making it clear that I could NOT have onions anywhere near me as it’s almost deathly. I politely requested an exchange or maybe a refund but she refused and rudely ignored my request. Floor staff were great, pub manager not so much. Will never come here again, completely ruined my experience.",1,No photos count,False,0,,£10–20,1,1,1,Not found
Olubukola Ayodele,a year ago,4,"My friend and I were in Manchester for the weekend and we wanted a place for a late breakfast. Found this little place. Decor is like the typical pub/bar. You had to use the app or walk to the bar to order but there was no one to let us know this (it took us a while to figure it out). Food came in about 10 minutes after ordering. Unfortunately, my poached eggs were fully cooked, which was disappointing. Overall, it's a good place to sit down and grab some food while you are in Manchester city centre.",320,4531,True,4,"https://lh5.googleusercontent.com/p/AF1QipMgemFoUeRD7GToIDJkOVltZ1AeK9m6P1Cmwnv4=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOiw9nQV94jnHKLrZUx3sCbkGLatbuGqkxU29Nh=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMGlTNhb740o2FeFmkFBpcu3iasJ-GMmhri8kz0=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPAbEOUDSUmBwvgLavjNBPczoAfIHegk_QSNBg6=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
AKP,10 months ago,3,"Wonderful!
Loved the atmosphere and food. One thing I found hilarious is the portion of the fried veggies I ordered. Even though they spread the flat in the cup, I could still see the bottom. I could finish them all in one bite and that wouldn't even be mouthful. For around 3 pounds, it was a great laugh amongst ourselves so it may be worth it.",176,164,True,1,https://lh5.googleusercontent.com/p/AF1QipPEWsx6srq-ZT4oApRs_ihULcsSmkDLT-iWd7BM=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
Forrest Kin Kei Jam,4 months ago,5,"lovely atmosphere, just the steak was quite overcooked😂, curry is lovely and garlic naan is a must add-on",56,127,True,1,https://lh5.googleusercontent.com/p/AF1QipMmAMGoRn5k1hCzCMvNqZ8o-iQHXJQtkI69s51C=w900-h675-p-k-no,Not found,4,5,5,Not found
Repsol Peter,a week ago,4,Went here with a few friends after work. Busy Saturday evening. Quick service and polite. Very nice place this 1877 building,55,112,True,0,,£10–20,Not rated,4,5,Not found
